TIME;PASSENGERS;INFORMATION;SAFETY;STATION;TRIP_TRANSPORT;CHARACTERISTICS;GENDER;DRIVING_LIC;PRIVATE_CAR_USE;TWOWH_USE;BIKE_USE;NONE_ABOVE;AGE;EDUCATION_LVL;JOB;PPL_IN_HOUSE;FAMILY_INCOME
5;1;3,4;3,67;3,88;2,64;1,09;2;0;0;0;1;0;1;1;1;4;2
3,67;,93;2;2;3,53;3,09;1,55;2;0;0;0;0;1;2;2;4;4;2
4;,93;2,6;3,67;3,35;2,82;1,09;2;0;0;0;1;0;1;1;1;3;3
4;1,07;2,8;5;3,47;3,27;1,36;1;1;1;1;1;0;2;1;1;4;2
3,33;,86;3;3;3,41;2,45;,7;2;0;0;0;0; ;1;1;1;1;1
4,33;,93;3;5;4,06;2,91;,73;2;0;0;0;0;0;1;1;1;2;1
4;,86;3,4;4,33;4,06;2,73;1,2;1;0;0;1;1; ;1;2;1;3;2
4;,71;2,6;4;3,41;3,18;1,09;2;0;0;0;1;0;1;1;1;4;2
3,33;,86;3,2;4;4,12;2,36;1;2;0;0;0;1;0;1;1;1;3;2
5;,57;2,8;3,33;3,59;2,36;2;1;1;0;0;1;0;0;2;6;10;1
4,67;,93;3,8;4,33;4,18;3,09;1,2;1;0;0;0;1; ;1;2;1;4;2
4;1;2,8;5;4,06;3,45;1,36;2;1;1;0;1;0;1;2;1;3;3
4,33;,93;2,8;4;4,24;2,64;1,09;1;1;0;0;1;0;1;1;1;4;2
4,33;,57;3;4,33;3,47;2,09;1;1;1;0;0;0;0;2;2;2;1;2
4,67;,93;4;4,67;4,18;3,27;1,55;1;1;1;1;1;0;3;1;3;3;2
3,67;,79;2,8;3,67;4,24;2,55;1,64;1;1;1;1;1;0;3;1;3;4;2
3,67;,71;2,4;4;3,47;1,73;1,8;2;1;1;0;0; ;3;2;2;4;3
4;,79;2,8;4,67;3,41;2;,91;1;1;0;0;0;0;1;1;1;2;3
4,67;1;3,2;5;3,65;2,91;1;1;0;0;0;1;0;1;1;1;3;3
4,33;,86;3,4;4;2,94;2,82;1,1;2;1;1;0;1; ;1;1;1;1;2
3,67;,93;2,4;2,67;3,12;2;,73;2;0;0;0;1;0;1;1;1;1;1
3,33;,93;2,8;4,33;3;2,82;,91;1;1;1;0;1;1;1;1;1;1;1
3,33;,71;2,6;3,67;3,29;2,64;,9;2;1;0;0;1; ;1;1;1;1;1
4;,93;2,8;4;3,59;3,09;1;2;1;0;0;1;0;1;1;1;2;2
2,67;,71;2;1,67;2,47;2;,82;2;0;0;1;1;0;1;1;1;1;1
4;,71;3,8;5;3,53;2,18;1,8;1;1;1;1;0; ;3;2;2;4;3
4,33;,86;2,8;4,67;3,41;2,64;1,5;2;1;1;0;1; ;1;1;1;4;3
3;,71;2,6;3,67;4,06;2,82;,91;1;1;1;1;1;1;0;0;1;2;1
 ;0; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
3;,86;2;3,67;2,88;2,73;1;2;1;0;0;0;1; ;2; ;2; 
 ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
